"point_id","site_id","point_order","point_text"
"dangjin_point_01","dangjin","1","당진을 단순 석탄발전소로만 말하면 답변 폭이 좁습니다. 석탄 운영, 혼소 실증, 전환 대상, 신재생 보조설비를 같이 묶어야 합니다."
"dangjin_point_02","dangjin","2","암모니아 혼소는 CO2 저감 가능성보다 연소 안정, NOx, 미연 암모니아, 독성 안전관리가 핵심입니다."
"dangjin_point_03","dangjin","3","당진 7~8호기 무탄소 전환은 양수·수소전소·암모니아 혼소 후보를 함께 적은 전환 계획이므로 수소 단일 항목처럼 말하면 안 됩니다."
"donghae_point_01","donghae","1","동해는 석탄보다 무연탄 유동층이라는 차이를 살려야 답변이 정밀해집니다."
"donghae_point_02","donghae","2","유동층은 연료 다변화와 SOx·NOx 저감 설명에 유리하지만, bed temperature, bed DP, 석회석 투입, refractory 손상을 같이 말해야 합니다."
"ulsan_point_01","ulsan","1","수소혼소는 친환경 키워드보다 역화, 연소진동, NOx, 누설, 방폭, 퍼지, ESD까지 말해야 합니다."
"ulsan_point_02","ulsan","2","울산 LNG는 독립 LNG 현황으로 단정하지 말고, 기존 복합설비·산업단지 전력공급 맥락과 수소혼소 실증 수치를 분리해서 답해야 합니다."
"ilsan_point_01","ilsan","1","열병합은 전기효율만 보면 안 됩니다. 유효열까지 포함한 전체 에너지 이용률로 봐야 합니다."
"ilsan_point_02","ilsan","2","노후 복합설비를 고효율·친환경 신규설비로 바꾸는 사례로 잡으면 생명주기 답변이 깔끔해집니다."
"eumseong_point_01","eumseong","1","음성은 LNG라서 끝이 아니라 수소혼소 플랫폼으로 확장되는 사례로 말해야 합니다."
"eumseong_point_02","eumseong","2","BIPV는 발전설비이면서 건축외장재라 구조, 방수, 화재, 유지관리 접근성이 핵심입니다."
"eumseong_point_03","eumseong","3","음성 준공 일정은 전기본과 EWP 보고서 표기가 다르므로 날짜를 말할 때 반드시 기준 출처를 같이 붙여야 합니다."
"shin-honam_point_01","shin-honam","1","호남을 현재 운영 석탄발전으로 말하면 오류입니다. 폐지와 전환 사례로만 써야 합니다."
"shin-honam_point_02","shin-honam","2","신호남은 건설 생명주기, 시운전, 친환경 전환을 묶어 답하기 좋은 항목입니다."
"jeju_point_01","jeju","1","제주는 단일 발전소보다 고립계통 안정 논리로 보는 편이 낫습니다."
"jeju_point_02","jeju","2","BESS의 35MW는 출력이고, ESS 운영 집계의 MWh 저장량과 단위가 다릅니다."
"jeju_point_03","jeju","3","제주 150MW 가스복합(수소)과 500MW LNG 가스복합은 2025 보고서에서 별도 건설 중 항목으로 나오므로 용량, 발전원, 준공연도를 분리해서 말해야 합니다."
"yongin_point_01","yongin","1","용인은 본체를 LNG 복합 건설 항목으로 두고, 수소 대응 가능성은 별도 설계 방향으로 말해야 합니다."
"gokseong_point_01","gokseong","1","곡성을 운영 중 양수로 말하면 안 됩니다. 500MW 건설 중, 2036년 준공 예정 항목으로 말해야 합니다."
"gokseong_point_02","gokseong","2","양수는 배터리보다 대용량·장주기 저장과 계통 안정 역할이 강합니다."
"windbelt_point_01","windbelt","1","풍력은 운영, 건설, 개발을 섞어 말하면 숫자가 어긋납니다. 기준 시점과 상태를 같이 말해야 합니다."
"windbelt_point_02","windbelt","2","해상풍력은 터빈보다 부유체, 계류, 해저케이블, 정비 접근성이 사업성을 좌우합니다."
"windbelt_point_03","windbelt","3","풍력 집계는 문서 기준에 따라 261.8MW와 316.4MW가 다르게 보이므로, 기준 시점과 표 범위를 같이 말해야 합니다."
"daeho_point_01","daeho-floating-solar","1","대호호는 본부별 태양광 용량 집계와 별도로 수상태양광 프로젝트로 분리해야 누락되지 않습니다."
"daeho_point_02","daeho-floating-solar","2","수상태양광은 모듈보다 부력체, 계류, 수위변동, 케이블 피로, 수질·생태 이슈까지 같이 말해야 합니다."
"haechangman_point_01","haechangman-floating-solar","1","해창만과 대호호는 둘 다 98MW급 수상태양광이므로 본부 부지 태양광과 같은 항목으로 뭉개면 안 됩니다."
"yanggu_point_01","yanggu-floating-solar","1","양구 수상태양광은 8.8MW 현황은 확인되지만 준공월은 현재 RAG 원문만으로 확정하지 말아야 합니다."
"baekgok_point_01","baekgok-floating-solar","1","백곡저수지는 최초제안자 지위 확보 단계이므로 운영 중 설비처럼 말하면 안 됩니다."
"solar_portfolio_point_01","solar-portfolio","1","지붕·영농형·RE100·PPA는 발전원은 태양광이지만 사업모델과 유지관리 포인트가 다르므로 별도 항목으로 외워야 합니다."
"solar_portfolio_point_02","solar-portfolio","2","태양광은 신규 건설뿐 아니라 발전량 예측, 표면 코팅, 열화관리 같은 O&M 성능개선 항목까지 같이 봐야 합니다."
"seokmun_point_01","seokmun-biomass","1","석문집단에너지 바이오매스 38.9MW는 동해 바이오매스 30MW와 별도 항목으로 관리해야 합니다."
"ess_portfolio_point_01","ess-portfolio","1","ESS 165.6MWh는 저장량이고 제주 BESS 35MW는 출력입니다. 단위가 다르므로 같은 숫자처럼 비교하면 안 됩니다."
"ess_portfolio_point_02","ess-portfolio","2","ESS는 발전원이 아니라 저장·계통 안정 설비입니다. 냉각, 환기, 소화, 방화구획, BMS·PCS 열관리를 같이 말해야 합니다."
