"status_id","status_name","sort_order","color_hex","is_future","description"
"operating","운영중","10","#26734d","FALSE","이미 운영 중인 설비·사업"
"construction","건설중","15","#8b6f1f","TRUE","건설 중이거나 준공 직전 단계"
"planned","예정","20","#9a6a14","TRUE","건설·개발·준공 예정"
"proposed","제안·확보","25","#7d6b91","TRUE","최초제안자 지위 확보 등 개발 전 단계"
"demo","실증","30","#c83d3d","TRUE","실증 단계 또는 실증부지"
"transition","전환","40","#7b5ab6","TRUE","연료전환·설비전환 흐름"
"retired","폐지 주의","50","#8b3f3f","FALSE","폐지·폐지 예정 등 답변 시 구분 필요"
"check","확인필요","60","#6a6f75","TRUE","근거는 있으나 위치·연도·용량 등 추가 확인이 필요한 항목"
"mixed","혼합","90","#626a70","FALSE","사업소 안에 여러 상태가 섞인 경우의 대표값"
